X,Y
0,8.5833
1,9.4296
2,14.9023
3,28.6257
4,45.4549
5,44.4255
6,27.4365
7,12.6885
8,5.1755
9,5.5000
10,4.1612
11,1.9898
12,3.0000
13,2.6899
14,3.5096
15,6.8531
16,5.9290
17,4.2227
18,2.9617
19,1.5000
20,2.5109
21,5.3777
22,5.5908
23,7.3859
24,9.5294
25,21.6762
26,34.4160
27,39.3675
28,45.4679
29,48.1264
30,48.2678
31,31.5861
32,12.6107
33,4.7077
34,2.7930
35,1.6298
36,2.6824
37,3.8299
38,2.5526
39,3.1455
40,4.4112
41,3.5000
42,3.3552
43,1.6605
44,4.0280
45,4.6673
46,8.0594
47,9.5000
48,9.6161
49,14.6954
50,27.5273
51,31.4945
52,26.0526
53,22.5622
54,16.1687
55,16.9658
56,13.1694
57,5.8791
58,6.9119
59,2.8012
60,3.8873
61,6.2917
